ticket-id,issue,category,expected_resolution
TKT-001,Karyawan tidak bisa login Windows karena lupa password akun domain,Access,Arahkan ke self-service portal https://password-reset.bsi.id untuk reset mandiri
TKT-002,Akun domain Windows terkunci setelah salah memasukkan password 3 kali berturut-turut,Access,Verifikasi NIK karyawan lalu unlock akun via console Active Directory
TKT-003,Token MFA tidak berfungsi setelah karyawan mengganti smartphone baru,Access,Panduan reset MFA mandiri di https://my.bsi.mitsubishi.com/mfa menggunakan Revoke Token lalu daftarkan ulang Microsoft Authenticator
TKT-004,QR Code MFA tidak muncul saat proses pendaftaran ulang Microsoft Authenticator,Access,Pastikan karyawan menggunakan browser laptop (bukan mobile); jika masih gagal eskalasi ke Tier 2
TKT-005,Karyawan tidak bisa konek GlobalProtect VPN saat bekerja dari rumah,Network,Lakukan Sign Out → restart laptop → login ulang ke vpn.bsi.mitsubishi.com
TKT-006,Muncul pesan error Gateway Not Responding pada aplikasi GlobalProtect,Network,Agen helpdesk melakukan force reset sesi VPN pengguna dari dashboard Palo Alto Firewall
TKT-007,Koneksi VPN putus terus setiap beberapa menit saat WFH,Network,Periksa stabilitas ISP karyawan; lakukan Sign Out dan reconnect VPN; eskalasi ke Tier 2 jika berlanjut
TKT-008,Vendor tidak bisa terhubung ke Wi-Fi di kantor,Network,Arahkan vendor ke jaringan BSI-Guest; password harian tersedia di layar monitor resepsionis
TKT-009,Password Wi-Fi BSI-Guest yang digunakan tamu sudah tidak valid,Network,Password BSI-Guest dirotasi otomatis setiap Senin 08.00 WIB; arahkan tamu ke petugas resepsionis untuk password terbaru
TKT-010,Karyawan meminta laptop pengganti karena performa sudah sangat lambat,Hardware,Verifikasi usia laptop di database IT Asset; jika sudah lebih dari 4 tahun arahkan untuk mengisi form refresh di portal ITSM
TKT-011,Laptop karyawan berusia 5 tahun mengalami kerusakan fisik pada layar,Hardware,Arahkan karyawan mengisi form pengajuan device refresh di ITSM; proses membutuhkan approval Manajer Departemen dengan SLA 3 hari kerja
TKT-012,Karyawan meminta monitor tambahan untuk kebutuhan kerja,Hardware,Arahkan buat tiket ITSM dengan business justification yang jelas dan lampirkan approval atasan langsung
TKT-013,Tim desain grafis mengajukan permintaan monitor kedua untuk seluruh anggota tim (5 orang),Hardware,Arahkan manajer tim untuk membuat tiket ITSM per karyawan disertai justifikasi bisnis dan approval atasan; IT akan proses setelah approved
TKT-014,Karyawan meminta mouse nirkabel tanpa menyertakan alasan bisnis,Hardware,Tolak tiket dan minta karyawan melengkapi business justification yang spesifik serta approval atasan sebelum diproses
TKT-015,SAP GUI menampilkan error WSAECONNREFUSED saat karyawan mencoba login dari luar kantor,ERP,Pastikan VPN aktif terhubung ke vpn.bsi.mitsubishi.com; periksa konfigurasi saplogon.ini dan pastikan Application Server mengarah ke IP 10.50.100.12
TKT-016,SAP GUI tidak bisa konek meski VPN sudah aktif dan konfigurasi IP sudah benar,ERP,Periksa apakah IP karyawan terkena blokir firewall ERP; koordinasikan dengan tim Network untuk investigasi lebih lanjut
TKT-017,Akun SAP karyawan terkunci karena tidak digunakan selama 3 bulan saat cuti panjang,ERP,Eskalasi tiket ke SAP Basis Team via ITSM dengan menyertakan nama karyawan NIK dan SAP User ID; informasikan SLA unlock maks 1x24 jam
TKT-018,Karyawan baru tidak bisa login SAP sama sekali padahal akun sudah dibuat,ERP,Verifikasi konfigurasi saplogon.ini dan status akun di Active Directory; jika akun SAP belum dikonfigurasi eskalasi ke SAP Basis Team
TKT-019,Mailbox Outlook karyawan penuh dan tidak bisa menerima email baru,Software,Arahkan karyawan untuk hapus email berattachment besar dan aktifkan fitur Online Archive untuk email lebih dari 1 tahun
TKT-020,Karyawan reguler meminta penambahan kuota mailbox di atas 50 GB,Software,Quota tambahan hanya untuk level Direktur ke atas atau dengan persetujuan khusus Head of IT; tolak dan jelaskan kebijakan ini kepada karyawan
TKT-021,Direktur meminta upgrade kuota mailbox karena sudah hampir penuh,Software,Proses permintaan upgrade lisensi setelah mendapat persetujuan Head of IT; koordinasikan dengan tim Microsoft 365
TKT-022,Karyawan meminta instalasi Microsoft Visio untuk kebutuhan pembuatan diagram alur proses,Software,Arahkan karyawan buat tiket permohonan software di ITSM dengan lampiran persetujuan Manajer Departemen; biaya lisensi akan di-charge-back ke cost-center departemen
TKT-023,Tim project management meminta akses Microsoft Project untuk perencanaan proyek Q3,Software,Arahkan buat tiket permohonan software di ITSM; ingatkan bahwa biaya lisensi dibebankan ke cost-center departemen bukan anggaran IT
TKT-024,Karyawan mengeluh tidak bisa mengakses email di Outlook karena akun Microsoft 365 diblokir,Software,Verifikasi status akun di Microsoft 365 Admin Center; jika akun diblokir karena policy eskalasi ke tim IT Security
TKT-025,Karyawan meminta bantuan untuk memesan ruang rapat beserta konsumsi untuk meeting besok,Other,Layanan ini bukan ranah IT; arahkan karyawan ke sistem BSI Facility Booking atau hubungi General Affairs di ekstensi 101
TKT-026,Proyektor di ruang rapat lantai 3 tidak berfungsi dan karyawan meminta IT untuk memperbaiki,Other,Ketersediaan proyektor di ruang rapat bukan tanggung jawab IT; arahkan ke General Affairs di ekstensi 101
TKT-027,ID Card karyawan hilang dan tidak bisa masuk gedung kantor,Other,Ini bukan ranah IT; arahkan karyawan untuk melapor ke HR dan Security Gedung di lantai 1 untuk pencetakan ulang kartu; IT hanya sinkronisasi data setelah kartu baru diterbitkan
TKT-028,ID Card karyawan rusak dan chip akses tidak terbaca oleh pintu,Other,Arahkan karyawan ke HR untuk proses administrasi dan Security Gedung lantai 1 untuk penggantian fisik kartu; IT akan melakukan sinkronisasi HRIS ke door access setelah kartu baru tersedia
TKT-029,Karyawan tidak bisa login laptop sama sekali setelah update Windows terbaru,Access,Coba boot ke Safe Mode untuk diagnosa; jika gagal koordinasikan dengan tim desktop support untuk reimaging atau rollback update
TKT-030,Karyawan baru belum menerima akses VPN meski sudah onboarding 3 hari yang lalu,Network,Verifikasi apakah akun Active Directory sudah aktif dan terdaftar di grup GlobalProtect; jika belum koordinasikan dengan tim IAM untuk provisioning akses VPN
